Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,codingLge,frontSkills,backFrame,db,deploy,tool,targetTask
>35,Undergraduate,Man,Dev,16,12,118908.0,12,0,1,0,1,1,1,1,0
<35,Master,Man,Dev,12,6,69183.0,14,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,10,8,29320.0,23,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,22,8,70264.0,14,0,1,0,1,1,1,1,1
<35,Undergraduate,Woman,Dev,1,0,4008.0,4,0,1,1,0,0,0,1,0
<35,Master,NonBinary,NotDev,12,5,150000.0,10,0,1,0,1,1,1,1,0
>35,Undergraduate,Man,Dev,30,21,51888.0,36,1,1,1,1,1,1,1,0
>35,Master,Man,Dev,22,7,64859.0,17,1,1,1,1,1,1,1,0
>35,Master,Man,Dev,30,17,59454.0,14,1,1,1,1,1,1,1,0
>35,Other,Woman,Dev,20,17,78750.0,6,0,1,1,1,1,0,0,0
<35,Master,Man,NotDev,13,5,36753.0,11,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,3,0,6981.0,5,0,1,1,1,0,1,0,0
>35,Undergraduate,Man,NotDev,25,19,125000.0,13,1,1,0,1,1,1,1,0
<35,Undergraduate,Man,Dev,17,10,63854.0,5,0,1,0,0,0,0,1,0
>35,Other,Man,Dev,14,10,123984.0,17,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,13,10,25944.0,11,0,1,1,0,1,1,1,0
<35,Other,Man,Dev,4,0,2508.0,20,1,1,1,1,1,1,1,0
<35,Master,Man,NotDev,13,4,46482.0,15,0,1,1,1,1,1,1,0
<35,Master,Man,Dev,9,5,7788.0,13,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,8,5,72000.0,12,1,1,1,1,1,1,1,0
>35,Other,Man,Dev,34,25,152473.0,11,1,1,1,0,1,1,1,0
<35,Master,Man,Dev,3,3,35672.0,2,0,1,0,0,0,0,0,0
<35,Master,Man,Dev,12,6,85908.0,20,1,1,1,1,1,1,0,0
<35,Undergraduate,Man,Dev,9,5,27144.0,15,1,1,0,1,1,1,1,0
